  e_min       e_max        flux     flux_errn   flux_errp      e2dnde     e2dnde_errn   e2dnde_errp  is_ul   flux_ul     e2dnde_ul   sqrt_ts
   MeV         MeV     1 / (s cm2) 1 / (s cm2) 1 / (s cm2) erg / (s cm2) erg / (s cm2) erg / (s cm2)       1 / (s cm2) erg / (s cm2)        
---------- ----------- ----------- ----------- ----------- ------------- ------------- ------------- ----- ----------- ------------- -------
    50.000     100.000   1.341e-09         nan   1.609e-07     2.131e-13           nan     2.557e-11  True   3.231e-07     5.134e-11   0.000
   100.000     300.000   5.677e-08   5.688e-08   5.477e-08     1.338e-11     1.340e-11     1.290e-11 False         nan           nan   1.011
   300.000    1000.000   9.640e-09   4.035e-09   3.869e-09     6.464e-12     2.705e-12     2.594e-12 False         nan           nan   2.388
  1000.000    3000.000   2.185e-09   4.472e-10   4.503e-10     5.149e-12     1.054e-12     1.061e-12 False         nan           nan   4.903
  3000.000   10000.000   4.059e-10   1.277e-10   1.265e-10     2.722e-12     8.565e-13     8.486e-13 False         nan           nan   3.259
 10000.000   30000.000   8.014e-11   3.999e-11   4.139e-11     1.888e-12     9.421e-13     9.753e-13 False         nan           nan   1.970
 30000.000  100000.000   1.481e-11         nan   1.501e-11     9.931e-13           nan     1.006e-12  True   4.483e-11     3.006e-12   0.882
100000.000 1000000.000   2.247e-11   8.931e-12   1.026e-11     3.692e-12     1.468e-12     1.686e-12 False         nan           nan   2.926
