,runnumber
0,16897
1,16902
2,16903
3,16904
4,16905
5,16906
6,16907
7,16908
8,16909
9,16910
10,16911
11,16912
12,16913
13,16916
14,16917
15,16918
16,16919
17,16920
18,16921
19,16922
20,16923
21,16924
22,16925
23,16926
24,16927
25,16930
26,16944
27,16945
28,16946
29,16947
30,16948
31,16949
32,16950
33,16951
34,16952
35,16953
36,16954
37,16955
38,16956
39,16957
40,16958
41,16960
42,16961
43,16962
44,16963
45,16971
46,16972
47,16973
48,16974
49,16975
50,16976
51,16977
52,16978
53,16980
54,16981
55,16982
56,16983
57,16984
58,16985
59,16986
60,16987
61,16988
62,16989
63,16990
64,16991
65,16999
66,17000
67,17001
68,17002
69,17003
70,17004
71,17005
72,17006
73,17007
74,17008
75,17009
76,17010
77,17012
78,17013
79,17014
80,17015
81,17018
82,17019
83,17020
84,17021
85,17022
86,17023
87,17024
88,17025
89,17026
90,17027
91,17029
92,17030
93,17031
94,17032
95,17033
96,17034
97,17035
98,17036
99,17037
100,17038
101,17039
102,17040
103,17041
104,17042
105,17043
106,17044
107,17045
108,17046
109,17047
110,17048
111,17049
112,17050
113,17060
114,17061
115,17062
116,17063
117,17064
118,17065
119,17066
120,17067
121,17068
122,17069
123,17070
124,17071
125,17072
126,17073
127,17074
128,17075
129,17076
130,17077
131,17078
132,17079
133,17080
134,17081
135,17082
136,17083
137,17084
138,17085
139,17086
140,17087
141,17088
142,17089
143,17092
144,17093
145,17094
146,17095
147,17096
148,17099
149,17100
150,17101
151,17102
152,17103
153,17104
154,17105
155,17106
156,17107
157,17108
158,17109
159,17110
160,17111
161,17112
162,17113
163,17114
164,17115
165,17117
166,17118
167,17119
168,17120
169,17121
170,17124
171,17125
172,17126
173,17127
174,17128
175,17129
176,17130
177,17131
178,17132
179,17133
180,17134
181,17135
182,17136
183,17137
184,17138
185,17139
186,17140
187,17141
188,17142
189,17155
190,17160
191,17161
192,17162
193,17163
194,17164
195,17165
196,17166
197,17167
198,17168
199,17169
200,17170
201,17171
202,17172
203,17173
204,17176
205,17177
206,17178
207,17179
208,17180
209,17181
210,17182
211,17183
212,17184
213,17185
214,17186
215,17189
216,17190
217,17191
218,17192
219,17193
220,17209
221,17210
222,17211
223,17220
224,17221
225,17222
226,17223
227,17225
228,17226
229,17227
230,17228
231,17229
232,17230
233,17231
234,17232
235,17233
236,17234
237,17235
238,17236
239,17237
240,17240
241,17241
242,17242
243,17243
244,17244
245,17245
246,17246
247,17247
248,17248
249,17249
250,17253
251,17254
252,17255
253,17256
254,17257
255,17258
256,17259
257,17260
258,17261
259,17262
260,17263
261,17264
262,17265
263,17266
264,17267
265,17268
266,17269
267,17271
268,17272
269,17273
270,17274
271,17275
272,17278
273,17279
274,17280
275,17281
276,17282
277,17283
278,17284
279,17285
280,17286
281,17287
282,17288
283,17289
284,17290
285,17291
286,17292
287,17293
288,17294
289,17295
290,17296
291,17297
292,17298
293,17299
294,17300
295,17301
296,17302
297,17303
298,17306
299,17307
300,17308
301,17309
302,17310
303,17311
304,17312
305,17313
306,17314
307,17315
308,17316
309,17317
310,17318
311,17319
312,17320
