,runnumber
1,16274
7,16280
8,16281
15,16288
17,16290
18,16291
23,16298
25,16300
26,16301
27,16304
28,16305
29,16306
30,16307
33,16310
35,16312
36,16313
43,16322
45,16324
47,16326
49,16328
79,16362
80,16363
87,16370
88,16371
89,16372
90,16373
91,16374
92,16375
105,16413
106,16414
107,16415
111,16423
112,16424
113,16425
120,16436
122,16438
123,16439
124,16440
125,16441
127,16445
128,16446
129,16447
131,16449
134,16456
135,16457
137,16459
138,16460
139,16461
140,16462
141,16463
142,16464
143,16465
144,16466
145,16467
164,16489
165,16490
171,16496
173,16498
174,16499
175,16500
176,16501
177,16502
179,16504
180,16505
181,16506
203,16530
204,16531
205,16532
206,16533
207,16534
208,16535
209,16536
210,16537
211,16538
216,16545
217,16546
218,16547
220,16549
221,16550
222,16551
223,16552
224,16553
225,16554
228,16557
229,16558
230,16559
231,16560
233,16562
234,16563
236,16565
237,16566
239,16570
242,16573
243,16574
244,16575
245,16576
249,16580
251,16584
257,16590
258,16591
264,16597
265,16598
266,16599
267,16600
269,16602
270,16603
271,16604
272,16605
274,16613
275,16614
277,16616
280,16620
281,16621
282,16622
283,16623
284,16624
287,16627
289,16629
290,16630
291,16631
293,16633
294,16634
295,16635
296,16636
297,16637
299,16639
300,16640
301,16641
302,16642
304,16646
305,16647
306,16648
309,16651
310,16652
311,16653
312,16654
316,16660
317,16661
318,16662
319,16663
321,16665
322,16666
325,16669
326,16670
327,16671
330,16674
331,16675
332,16676
335,16679
336,16680
338,16682
339,16683
340,16684
341,16685
342,16686
343,16687
344,16688
345,16689
346,16690
348,16692
349,16693
350,16694
356,16702
357,16703
358,16704
359,16705
360,16706
361,16707
362,16708
364,16710
365,16711
366,16712
369,16715
371,16717
374,16720
375,16721
376,16722
377,16723
380,16726
382,16729
384,16733
386,16735
387,16736
390,16739
393,16742
397,16746
398,16747
399,16748
400,16749
403,16752
404,16753
405,16754
407,16764
408,16765
409,16766
410,16767
412,16771
413,16772
414,16773
415,16774
416,16775
417,16776
418,16777
419,16778
420,16779
421,16780
423,16782
424,16783
425,16784
426,16785
427,16786
428,16787
429,16788
431,16803
432,16804
433,16805
434,16806
435,16807
436,16808
437,16809
438,16810
440,16815
441,16816
442,16817
443,16818
444,16819
445,16820
446,16821
447,16822
448,16823
449,16824
450,16825
452,16829
453,16830
454,16831
455,16832
456,16833
457,16834
466,16847
467,16848
468,16849
469,16850
470,16851
471,16852
474,16857
475,16858
476,16859
477,16860
478,16861
483,16867
485,16869
487,16873
488,16874
489,16875
500,16897
501,16902
502,16903
503,16904
504,16905
505,16906
508,16909
512,16913
514,16917
515,16918
516,16919
517,16920
519,16922
520,16923
521,16924
522,16925
523,16926
524,16927
527,16930
531,16945
532,16946
533,16947
534,16948
540,16954
541,16955
542,16956
543,16957
545,16960
546,16961
547,16962
555,16973
561,16980
562,16981
563,16982
564,16983
566,16985
567,16986
568,16987
569,16988
570,16989
571,16990
579,17005
580,17006
581,17007
582,17008
583,17009
584,17010
586,17013
587,17014
589,17018
590,17019
591,17020
592,17021
593,17022
608,17038
609,17039
610,17040
611,17041
612,17042
613,17043
623,17062
624,17063
625,17064
627,17066
628,17067
629,17068
630,17069
631,17070
633,17072
634,17073
635,17074
636,17075
637,17076
638,17077
639,17078
640,17079
641,17080
642,17081
643,17082
648,17087
650,17089
651,17092
652,17093
653,17094
654,17095
655,17096
665,17108
666,17109
667,17110
668,17111
679,17125
680,17126
681,17127
682,17128
683,17129
684,17130
685,17131
686,17132
687,17133
688,17134
689,17135
690,17136
691,17137
695,17141
713,17162
714,17163
715,17164
716,17165
717,17166
718,17167
719,17168
722,17171
723,17172
724,17173
725,17176
726,17177
727,17178
728,17179
729,17180
730,17181
731,17182
738,17191
739,17192
742,17210
743,17211
761,17240
762,17241
763,17242
764,17243
765,17244
766,17245
768,17247
769,17248
770,17249
772,17253
773,17254
774,17255
775,17256
776,17257
777,17258
778,17259
779,17260
780,17261
781,17262
782,17263
783,17264
785,17266
786,17267
788,17269
790,17271
792,17273
793,17274
794,17275
799,17282
801,17284
802,17285
803,17286
804,17287
805,17288
806,17289
807,17290
808,17291
809,17292
816,17299
817,17300
818,17301
819,17302
820,17303
822,17307
823,17308
826,17311
827,17312
831,17316
832,17317
833,17318
834,17319
837,17322
838,17323
839,17324
840,17325
843,17330
845,17332
846,17333
847,17334
848,17335
851,17338
852,17339
853,17340
854,17341
855,17342
856,17343
866,17357
867,17358
877,17368
